entry_window,exit_window,parameter,cumulative_return,max_drawdown,sharpe_ratio,trade_count
20,10,20/10,0.0063141435133153845,-0.061376599767244966,0.14694666215458557,9
30,15,30/15,0.03803111051486785,-0.051400088567869484,0.629409881002801,5
40,20,40/20,-0.010872195451603672,-0.04891003975431041,-0.17623759553415141,7
55,20,55/20,0.006357574282127798,-0.03743497162144793,0.15334691690772356,3
